"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60005","Search the product and and proceed add to cart","Firefox","Sat Jun 14 09:16:10 IST 2025","broken","Sat Jun 14 09:17:10 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
"","18415","Click on home button and verify the all products types the dropdown","WebKit","Sat Jun 14 09:02:28 IST 2025","passed","Sat Jun 14 09:02:47 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
"","17798","@smoke Search the product and and proceed add to cart","chromium","Sat Jun 14 08:47:46 IST 2025","passed","Sat Jun 14 08:48:04 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
"","7","Click on home button and verify the all products types the dropdown","webkit","Sat Jun 14 08:51:17 IST 2025","skipped","Sat Jun 14 08:51:17 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
"","26454","Search the product and and proceed add to cart","webkit","Sat Jun 14 08:51:19 IST 2025","passed","Sat Jun 14 08:51:46 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
"","16881","Click on home button and verify the all products types the dropdown","Chromium","Sat Jun 14 09:02:05 IST 2025","passed","Sat Jun 14 09:02:22 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
"","28851","Search the product and and proceed add to cart","chromium","Thu Jun 12 22:09:27 IST 2025","passed","Thu Jun 12 22:09:56 IST 2025","Login and Dashboard Tests","lamdaTestE2E.spec.js","",""
"","21503","Search the product and and proceed add to cart","firefox","Sat Jun 14 08:51:20 IST 2025","passed","Sat Jun 14 08:51:41 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
"","8","Click on home button and verify the all products types the dropdown","firefox","Sat Jun 14 08:51:17 IST 2025","skipped","Sat Jun 14 08:51:17 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
"","16663","Search the product and and proceed add to cart","chromium","Sat Jun 14 08:51:19 IST 2025","passed","Sat Jun 14 08:51:36 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
"","26394","@smoke Search the product and and proceed add to cart","firefox","Thu Jun 12 22:14:07 IST 2025","passed","Thu Jun 12 22:14:34 IST 2025","Login and Dashboard Tests","lamdaTestE2E.spec.js","",""
"","22267","@smoke Search the product and and proceed add to cart","firefox","Sat Jun 14 08:47:47 IST 2025","passed","Sat Jun 14 08:48:09 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
"","29017","Search the product and and proceed add to cart","WebKit","Sat Jun 14 09:16:10 IST 2025","passed","Sat Jun 14 09:16:40 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
"","7","Click on home button and verify the all products types the dropdown","chromium","Sat Jun 14 08:51:17 IST 2025","skipped","Sat Jun 14 08:51:17 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
"","7","Click on home button and verify the all products types the dropdown","chromium","Fri Jun 13 23:14:37 IST 2025","skipped","Fri Jun 13 23:14:37 IST 2025","Login and Dashboard Tests","lamdaTestE2E.spec.js","",""
"","17190","Search the product and and proceed add to cart","Chromium","Sat Jun 14 09:16:10 IST 2025","passed","Sat Jun 14 09:16:27 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
"","26050","@smoke Search the product and and proceed add to cart","webkit","Sat Jun 14 08:47:46 IST 2025","passed","Sat Jun 14 08:48:12 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
"","24775","@smoke Search the product and and proceed add to cart","webkit","Thu Jun 12 22:14:08 IST 2025","passed","Thu Jun 12 22:14:33 IST 2025","Login and Dashboard Tests","lamdaTestE2E.spec.js","",""
"","20398","@smoke Search the product and and proceed add to cart","chromium","Fri Jun 13 23:14:38 IST 2025","passed","Fri Jun 13 23:14:58 IST 2025","Login and Dashboard Tests","lamdaTestE2E.spec.js","",""
"","31064","Click on home button and verify the all products types the dropdown","Firefox","Sat Jun 14 09:02:05 IST 2025","broken","Sat Jun 14 09:02:36 IST 2025","End To Flow For Ecommerce Applciation","lamdaTestE2E.spec.js","",""
